time,open,high,low,close
2021-01-04 00:00:00,140.732,141.004,140.717,140.896
2021-01-04 00:15:00,140.896,141.047,140.872,140.968
2021-01-04 00:30:00,140.968,140.968,140.888,140.906
2021-01-04 00:45:00,140.906,140.989,140.898,140.954
2021-01-04 01:00:00,140.966,141.12,140.966,141.108
2021-01-04 01:15:00,141.108,141.212,141.078,141.189
2021-01-04 01:30:00,141.189,141.311,141.164,141.286
2021-01-04 01:45:00,141.286,141.307,141.223,141.247
2021-01-04 02:00:00,141.247,141.28,140.993,141.011
2021-01-04 02:15:00,141.01,141.032,140.906,140.913
2021-01-04 02:30:00,140.915,140.915,140.782,140.834
2021-01-04 02:45:00,140.834,140.985,140.826,140.915
2021-01-04 03:00:00,140.915,141.007,140.904,140.989
2021-01-04 03:15:00,140.989,141.102,140.959,141.089
2021-01-04 03:30:00,141.089,141.102,141.018,141.073
2021-01-04 03:45:00,141.073,141.078,140.995,141.004
2021-01-04 04:00:00,141.004,141.083,140.964,141.053
2021-01-04 04:15:00,141.053,141.087,140.972,141.008
2021-01-04 04:30:00,141.008,141.034,140.96,140.993
2021-01-04 04:45:00,140.993,141.05,140.97,141.008
2021-01-04 05:00:00,141.008,141.046,140.995,141.038
2021-01-04 05:15:00,141.033,141.048,141.01,141.032
2021-01-04 05:30:00,141.032,141.033,140.976,140.981
2021-01-04 05:45:00,140.981,140.996,140.967,140.992
2021-01-04 06:00:00,140.992,141.047,140.971,141.041
2021-01-04 06:15:00,141.041,141.044,140.947,140.951
2021-01-04 06:30:00,140.951,140.966,140.891,140.931
2021-01-04 06:45:00,140.931,140.942,140.899,140.906
2021-01-04 07:00:00,140.906,140.956,140.878,140.93
2021-01-04 07:15:00,140.93,140.935,140.854,140.875
2021-01-04 07:30:00,140.875,140.931,140.871,140.897
2021-01-04 07:45:00,140.897,140.965,140.876,140.945
2021-01-04 08:00:00,140.946,141.016,140.91,140.923
2021-01-04 08:15:00,140.924,140.941,140.875,140.891
2021-01-04 08:30:00,140.891,140.963,140.888,140.934
2021-01-04 08:45:00,140.934,140.956,140.901,140.947
2021-01-04 09:00:00,140.944,141.032,140.941,141.024
2021-01-04 09:15:00,141.026,141.068,140.958,140.982
2021-01-04 09:30:00,140.982,141.039,140.888,140.945
2021-01-04 09:45:00,140.945,140.974,140.755,140.861
2021-01-04 10:00:00,140.864,140.926,140.732,140.748
2021-01-04 10:15:00,140.747,140.78,140.623,140.663
2021-01-04 10:30:00,140.663,140.708,140.583,140.696
2021-01-04 10:45:00,140.697,140.773,140.644,140.747
2021-01-04 11:00:00,140.747,140.79,140.59,140.597
2021-01-04 11:15:00,140.597,140.66,140.542,140.567
2021-01-04 11:30:00,140.573,140.574,140.459,140.491
2021-01-04 11:45:00,140.492,140.515,140.419,140.486
2021-01-04 12:00:00,140.481,140.556,140.467,140.546
2021-01-04 12:15:00,140.546,140.633,140.476,140.596
2021-01-04 12:30:00,140.596,140.661,140.55,140.643
2021-01-04 12:45:00,140.644,140.783,140.64,140.763
2021-01-04 13:00:00,140.763,140.865,140.75,140.768
2021-01-04 13:15:00,140.768,140.772,140.679,140.693
2021-01-04 13:30:00,140.693,140.719,140.621,140.638
2021-01-04 13:45:00,140.638,140.717,140.571,140.604
2021-01-04 14:00:00,140.604,140.612,140.418,140.521
2021-01-04 14:15:00,140.521,140.56,140.496,140.553
2021-01-04 14:30:00,140.553,140.626,140.5,140.508
2021-01-04 14:45:00,140.509,140.587,140.48,140.514
2021-01-04 15:00:00,140.515,140.591,140.411,140.436
2021-01-04 15:15:00,140.436,140.456,140.206,140.326
2021-01-04 15:30:00,140.327,140.411,140.287,140.372
2021-01-04 15:45:00,140.372,140.437,140.319,140.384
2021-01-04 16:00:00,140.382,140.433,140.354,140.379
2021-01-04 16:15:00,140.378,140.442,140.344,140.378
2021-01-04 16:30:00,140.381,140.395,140.221,140.351
2021-01-04 16:45:00,140.35,140.438,140.193,140.232
2021-01-04 17:00:00,140.232,140.236,139.987,140.157
2021-01-04 17:15:00,140.158,140.192,140.001,140.005
2021-01-04 17:30:00,140.004,140.095,139.921,140.071
2021-01-04 17:45:00,140.071,140.107,139.972,140.025
2021-01-04 18:00:00,140.026,140.108,139.991,140.081
2021-01-04 18:15:00,140.081,140.186,140.043,140.167
2021-01-04 18:30:00,140.167,140.167,139.931,139.935
2021-01-04 18:45:00,139.934,139.946,139.803,139.821
2021-01-04 19:00:00,139.819,139.827,139.692,139.744
2021-01-04 19:15:00,139.745,139.861,139.707,139.806
2021-01-04 19:30:00,139.804,139.894,139.741,139.888
2021-01-04 19:45:00,139.887,140.01,139.826,139.971
2021-01-04 20:00:00,139.969,139.977,139.889,139.895
2021-01-04 20:15:00,139.897,139.929,139.837,139.837
2021-01-04 20:30:00,139.837,139.864,139.795,139.81
2021-01-04 20:45:00,139.81,139.929,139.808,139.879
2021-01-04 21:00:00,139.881,139.906,139.826,139.873
2021-01-04 21:15:00,139.873,139.927,139.849,139.877
2021-01-04 21:30:00,139.878,139.881,139.802,139.825
2021-01-04 21:45:00,139.824,139.906,139.818,139.883
2021-01-04 22:00:00,139.882,139.905,139.77,139.816
2021-01-04 22:15:00,139.817,139.873,139.806,139.818
2021-01-04 22:30:00,139.818,139.892,139.813,139.865
2021-01-04 22:45:00,139.863,139.954,139.846,139.947
2021-01-04 23:00:00,139.947,140.058,139.939,140.015
2021-01-04 23:15:00,140.015,140.021,139.954,139.975
2021-01-04 23:30:00,139.975,140.077,139.841,139.901
2021-01-04 23:45:00,139.901,139.974,139.896,139.96
2021-01-05 00:00:00,139.929,139.949,139.829,139.928
2021-01-05 00:15:00,139.928,139.949,139.916,139.917
2021-01-05 00:30:00,139.917,139.938,139.908,139.936
2021-01-05 00:45:00,139.944,139.977,139.93,139.961
2021-01-05 01:00:00,139.957,140.035,139.956,140.002
2021-01-05 01:15:00,140.002,140.019,139.892,139.896
2021-01-05 01:30:00,139.894,139.936,139.888,139.907
2021-01-05 01:45:00,139.907,139.962,139.897,139.961
2021-01-05 02:00:00,139.961,139.997,139.899,139.979
2021-01-05 02:15:00,139.979,140.016,139.946,140.008
2021-01-05 02:30:00,140.009,140.024,139.968,140.005
2021-01-05 02:45:00,140.005,140.011,139.9,139.946
2021-01-05 03:00:00,139.946,140.034,139.904,140.021
2021-01-05 03:15:00,140.021,140.036,139.955,140.001
2021-01-05 03:30:00,140.002,140.023,139.959,139.997
2021-01-05 03:45:00,139.997,140.018,139.931,139.937
2021-01-05 04:00:00,139.939,140.0,139.931,139.998
2021-01-05 04:15:00,139.998,140.044,139.976,140.039
2021-01-05 04:30:00,140.042,140.123,140.033,140.121
2021-01-05 04:45:00,140.121,140.13,140.083,140.087
2021-01-05 05:00:00,140.087,140.152,140.087,140.1
2021-01-05 05:15:00,140.1,140.139,140.056,140.081
2021-01-05 05:30:00,140.081,140.115,139.987,140.005
2021-01-05 05:45:00,140.005,140.012,139.939,139.976
2021-01-05 06:00:00,139.978,139.98,139.934,139.951
2021-01-05 06:15:00,139.949,139.985,139.892,139.962
2021-01-05 06:30:00,139.964,139.988,139.923,139.988
2021-01-05 06:45:00,139.988,140.013,139.935,139.935
2021-01-05 07:00:00,139.935,139.984,139.931,139.965
2021-01-05 07:15:00,139.966,139.983,139.949,139.973
