,symbol,volume_lots,order_type,open_price,close_time,close_price,profit
0,GBPJPY,1,sell,140.663,2021-01-04 17:00:00,140.232,285.4304635761666
1,GBPJPY,1,sell,139.698,2021-01-05 17:00:00,139.815,-77.48344370860279
2,GBPJPY,1,buy,140.203,2021-01-06 16:00:00,139.911,-193.37748344370968
3,GBPJPY,1,buy,140.615,2021-01-07 17:00:00,140.811,129.8013245033099
4,GBPJPY,1,buy,140.976,2021-01-08 17:00:00,141.122,96.68874172186425
5,GBPJPY,1,sell,140.558,2021-01-11 17:00:00,140.436,80.79470198674548
6,GBPJPY,1,buy,141.182,2021-01-12 17:00:00,141.82,422.5165562913942
7,GBPJPY,1,buy,141.882,2021-01-13 10:00:00,141.7425,-92.3841059602637
8,GBPJPY,1,buy,141.873,2021-01-13 16:45:00,141.7425,-86.42384105959181
9,GBPJPY,1,buy,142.0,2021-01-14 15:30:00,141.788,-140.39735099337025
10,GBPJPY,1,sell,141.873,2021-01-15 17:00:00,141.268,400.66225165562236
11,GBPJPY,1,sell,140.608,2021-01-18 17:00:00,140.718,-72.84768211919551
12,GBPJPY,1,buy,141.594,2021-01-19 17:00:00,141.592,-1.32450331124578
13,GBPJPY,1,buy,141.822,2021-01-20 16:45:00,141.647,-115.89403973510686
14,GBPJPY,1,buy,141.765,2021-01-21 17:00:00,142.173,270.19867549669897
15,GBPJPY,1,sell,141.794,2021-01-22 17:00:00,141.784,6.62251655630419
16,GBPJPY,1,buy,142.282,2021-01-25 11:00:00,142.0735,-138.0794701986854
17,GBPJPY,1,sell,141.518,2021-01-26 11:15:00,141.753,-155.6291390728379
18,GBPJPY,1,buy,142.508,2021-01-27 10:15:00,142.38150000000002,-83.77483443708142
19,GBPJPY,1,buy,142.51,2021-01-27 13:30:00,142.38150000000002,-85.0993377483272
20,GBPJPY,1,sell,142.33,2021-01-28 12:45:00,142.49849999999998,-111.5894039734875
21,GBPJPY,1,buy,143.982,2021-02-01 15:15:00,143.648,-221.19205298013458
22,GBPJPY,1,buy,143.737,2021-02-02 12:15:00,143.499,-157.6158940397348
23,GBPJPY,1,buy,143.619,2021-02-03 10:45:00,143.4805,-91.7218543046314
24,GBPJPY,1,sell,142.968,2021-02-04 14:00:00,143.1895,-146.6887417218677
25,GBPJPY,1,sell,144.403,2021-02-09 17:00:00,144.228,115.89403973508804
